Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Rank,Icon B/W,Icon color,URL,Radio station?
RSS,rss,5f762516f490f51849d63979,5f762516f490f53210d63b15,Tue Jun 25 2019 21:29:39 GMT+0000 (Coordinated Universal Time),Mon Aug 09 2021 16:19:12 GMT+0000 (Coordinated Universal Time),Mon Aug 09 2021 16:19:12 GMT+0000 (Coordinated Universal Time),99,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfee7692e363381333aef_5d12923e7a7a1ab4e4f1dc06_rss-icon_49830f5c3785a21ecb580f540ba59cbf.png,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfeec33bbb6d867995849_rss-icon.png,https://feeds.transistor.fm/cro-cafe,false
Apple Podcasts,itunes,5f762516f490f51849d63979,5f762516f490f55e09d63a74,Thu Mar 07 2019 16:56:14 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:55:02 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:55:02 GMT+0000 (Coordinated Universal Time),1,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff51cb9e04d55fbb353e_5d20613ffce0e3f9cf8bf68c_apple-podcast_3943de2efc2a368c4f2861af2fcd5cc9.png,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff559df942804523fc04_apple-podcast-icon.png,https://podcasts.apple.com/nl/podcast/cro-caf%C3%A9/id1441653737,false
Spotify,spotify,5f762516f490f51849d63979,5f762516f490f51080d63a76,Thu Mar 07 2019 16:57:02 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:54:46 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:54:46 GMT+0000 (Coordinated Universal Time),2,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff421831914e9c597216_5be2e7adafdcd72247118cd1_spotify-32.png,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff46bb13e3ec2535e9ab_spotify-icon.png,https://open.spotify.com/show/5TrJo8SegrE2haCeMDLB3M,false
Stitcher,stitcher,5f762516f490f51849d63979,5f762516f490f579c8d63a72,Thu Mar 07 2019 16:57:39 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:54:28 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:54:28 GMT+0000 (Coordinated Universal Time),9,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff30ef825f580da8baa2_5c842d163645871610fd986c_5c33eda3ee3329501ac53a77__178f8b9c01c01203e33dc0640da77d6d.png,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff34eca866d3ad5c8d1e_stitcher-icon.png,https://www.stitcher.com/s?fid=351596&refid=stpr,false
Pocket Casts,pocket-casts,5f762516f490f51849d63979,5f762516f490f52561d63a73,Thu Mar 07 2019 16:58:02 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:54:19 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:54:19 GMT+0000 (Coordinated Universal Time),6,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff2633bbb633e29986b6_5c33ec7e8914d6645aac03a1_pc2.png,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff2b7712d48b52b70d16_pocket-casts-logo.png,https://pca.st/gpU3,false
Overcast,overcast,5f762516f490f51849d63979,5f762516f490f53850d63a6f,Thu Mar 07 2019 17:28:38 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:54:08 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:54:08 GMT+0000 (Coordinated Universal Time),5,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff1b3571922c806e0fe8_overcast-icon.png,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff20ab967a718509f369_overcast-icon.png,https://overcast.fm/itunes1441653737/cro-cafe,false
Castbox,castbox,5f762516f490f51849d63979,5f762516f490f5b2f0d63a75,Thu Mar 07 2019 17:31:49 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:53:59 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:53:59 GMT+0000 (Coordinated Universal Time),4,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff11ab967a64e409e51a_castbox.png,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff17acbd4dff76666b32_castbox-icon.png,https://castbox.fm/channel/CRO.CAFE-id1484469,false
TuneIn,tunein,5f762516f490f51849d63979,5f762516f490f5616fd63a8f,Thu Mar 21 2019 18:51:38 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:53:48 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:53:48 GMT+0000 (Coordinated Universal Time),13,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff06991ee1ddbd762c8b_tunein-icon.png,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff0c121eb9ea1ae89418_tunein-icon.png,https://tunein.com/podcasts/Business--Economics-Podcasts/CROCAFE-p1213162/,false
Breaker,breaker,5f762516f490f51849d63979,5f762516f490f569e0d63b13,Tue Jun 25 2019 19:39:33 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:53:37 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:53:37 GMT+0000 (Coordinated Universal Time),10,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfefc33bbb66ae0996428_5d12794811126037b1c25235_breaker-icon_cdb0bf6f90ac865b9728e23a741d19f4.png,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bff01b6576a102a5f3d83_breaker-icon.png,https://www.breaker.audio/cro-dot-cafe-1,false
RadioPublic,radiopublic,5f762516f490f51849d63979,5f762516f490f53f4cd63b14,Tue Jun 25 2019 19:45:14 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:53:27 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:53:27 GMT+0000 (Coordinated Universal Time),14,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfef18f81ca07563d4b1f_5d1285df7a7a1aee04f177a4_radiopublic-flag-white_40_ea70e4837c658e6615411aa30d0c1fd3.png,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfef7acbd4d5128665974_radiopublic-icon.png,https://radiopublic.com/crocafe-Wkz9By,false
Podcast Addict,podcast-addict,5f762516f490f51849d63979,5f762516f490f56ffdd63b48,Tue Oct 08 2019 21:08:21 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:53:06 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:53:06 GMT+0000 (Coordinated Universal Time),7,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfeddbbc4048d1a4abc28_5d9cfb09cf685a9e2b9ac99b_Podcast-Addict_4ce72e33e38e192d2e03f7bf654d7550.png,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfee2f909c70b724db642_pa-icon.png,http://podplayer.net/?podId=2340305,false
Youtube,youtube,5f762516f490f51849d63979,5f836a34a3397d7db3b5b488,Sun Oct 11 2020 20:25:24 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:52:56 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:52:56 GMT+0000 (Coordinated Universal Time),3,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfed3e5a5342ada71b11d_1200px-YouTube_light_icon_(2017).png,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfed84d46648087dcdae0_YouTube-iconpng.png,https://www.youtube.com/channel/UCN7W3kbJ62V39mTRhRYFMnw,false
Player.fm,player-fm,5f762516f490f51849d63979,5f849fd0a63d7928eed21b9a,Mon Oct 12 2020 18:26:24 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:52:46 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:52:46 GMT+0000 (Coordinated Universal Time),15,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfec9ef825fba0ba86238_playerfmlogo.png,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfece9cdd16f1e236a38a_playerfmlogo-color.png,https://player.fm/series/the-cro-podcast-crocafe,false
Podbean,podbean,5f762516f490f51849d63979,5f84af9c76c315c3ebabd6b9,Mon Oct 12 2020 19:33:48 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:52:36 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:52:36 GMT+0000 (Coordinated Universal Time),11,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfebf297acc9efbbcd172_podbean-logo.png,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfec31831912660595456_podbean-icon.png,https://www.podbean.com/media/share/dir-3m727-b06df5f,false
Castro,castro,5f762516f490f51849d63979,5f84b4fca4b73d2f716ca41e,Mon Oct 12 2020 19:56:44 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:52:26 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:52:26 GMT+0000 (Coordinated Universal Time),12,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfeb5ab967a58c7097c33_castro-logo.png,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfeba0398555f4f70d312_castro-icon.png,https://castro.fm/podcast/84fa3007-f1c7-4c42-8b3a-a8a251a02d0d,false
Listen Notes,listen-notes,5f762516f490f51849d63979,5f9bf667f748db554b1e3154,Fri Oct 30 2020 11:17:59 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:52:16 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:52:16 GMT+0000 (Coordinated Universal Time),20,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfeab1a646b79a9d19175_ln-bw.png,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfeb0ae9e4c59d9683108_ln.png,https://www.listennotes.com/podcasts/crocafe-award-winning-cro-podcast-guido-x-OlAT7GvhCBY/,false
Podcast Index,podcast-index,5f762516f490f51849d63979,5f9bf8b197d6b60e49343128,Fri Oct 30 2020 11:27:45 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:52:07 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:52:07 GMT+0000 (Coordinated Universal Time),20,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfea1acbd4deb9a66128f_index-bw.png,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfea71a79dd03907f94c8_index-color.png,https://podcastindex.org/podcast/336876,false
Deezer,deezer,5f762516f490f51849d63979,5f9bfa20fa8b48313480312b,Fri Oct 30 2020 11:33:52 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:51:56 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:51:56 GMT+0000 (Coordinated Universal Time),20,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfe970ed199b82b9aabc1_deezer-bw.png,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfe9cf4228b68f6d048a6_deezer.png,https://deezer.com/show/1917002,false
Amazon Music,amazon-music,5f762516f490f51849d63979,5f9bfc2c5adf1f2910874235,Fri Oct 30 2020 11:42:36 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:51:47 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:51:47 GMT+0000 (Coordinated Universal Time),20,,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfe93ef825fc6b2a82c6a_amazon.png,https://www.audible.com/pd/CROCAFE-Award-winning-CRO-Podcast-Podcast/B08JJPCH8C,false
Pandora,pandora,5f762516f490f51849d63979,5f9bfdf243f3465bbc1f1818,Fri Oct 30 2020 11:50:10 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:51:41 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:51:41 GMT+0000 (Coordinated Universal Time),20,,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfe8dcd0641e35a832d70_Pandora_Logo_CMYK.png,https://www.pandora.com/podcast/crocafe-award-winning-cro-podcast/PC:48433,false
iHeartRadio,iheartradio,5f762516f490f51849d63979,5f9bfdfd494a93149a8e9a54,Fri Oct 30 2020 11:50:21 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:51:36 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:51:36 GMT+0000 (Coordinated Universal Time),20,,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfe879df9420738232484_iheart-radio.png,https://www.iheart.com/podcast/269-crocafe-award-winning-cro-73944745/,false
PodcastRepublic,podcast-republic,5f762516f490f51849d63979,5fe7a42ab00b37eba511c3a7,Sat Dec 26 2020 20:59:22 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:51:29 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:51:29 GMT+0000 (Coordinated Universal Time),20,,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfe81297accb2d3bca739_podcastrepublic.png,https://www.podcastrepublic.net/podcast/1441653737,false
ivoox,ivoox,5f762516f490f51849d63979,5ff734f592c03752b8c36913,Thu Jan 07 2021 16:21:09 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:51:24 GMT+0000 (Coordinated Universal Time),Fri Mar 12 2021 23:51:24 GMT+0000 (Coordinated Universal Time),20,,https://uploads-ssl.webflow.com/5be066740487be149c23be72/604bfe7c1a646b553ed18392_ivoox.png,https://us.ivoox.com/en/podcast-cro-cafe_sq_f1642715_1.html,false
